k2,k5,k10
1338678.0104928862,1112416.42020658,1179187.0654959881
1389022.7920456878,1132614.5168929412,1172703.641455044
1364555.8887798702,1127740.091645143,1180389.3626076311
1383702.4073756258,1135036.5376288504,1164984.944142199
1352162.8285517008,1110110.1343097934,1174408.8744477613
1367727.6685651955,1114834.987285688,1168922.056619331
1383668.1197364815,1132174.7715516586,1172468.1053797177
1369460.3205507856,1120106.0171250992,1187474.6895380965
1374060.9925258204,1124403.15460022,1177921.7056268349
1363418.0687808574,1129465.376079815,1173620.2161443848
1393144.882427718,1139847.1881303939,1168535.9212425882
1394154.3254751184,1144694.0967473113,1162599.280780632
1374789.4189448194,1137608.424050965,1172971.398313536
1394961.0162835522,1149363.3583726017,1163912.8741261903
1390862.1161657302,1130285.9546635067,1184408.3671188743
1379927.3698511478,1131499.3860515137,1178176.773531301
1375511.9844097234,1115159.4081425602,1173618.406825046
1392650.5910566098,1133095.403345212,1172657.6468728797
1370226.495491886,1129641.2999987307,1168574.6943789497
1376126.629119985,1134303.3415633403,1178542.7510927394
1385151.5059467196,1125298.0432736622,1164939.7429744063
1395485.420137391,1118440.9486070354,1175858.618489549
1379670.9051187017,1140100.2185076384,1176979.7035252743
1369553.8161586686,1114631.3630185388,1176311.9239554713
1356002.3896720642,1150123.2156928496,1174451.6053200096
1392718.8859775206,1119111.5964075942,1170672.6216643488
1378076.1111394542,1125355.9103662872,1178005.3223090994
1387552.6426747567,1121063.8895274587,1160920.5007343523
1380744.1643407606,1126475.405835282,1175692.951248147
1372699.6751620919,1130064.6201884062,1165219.8366428772
